Seq	sampleID	sampleID_ss	sampleID_ss_mean	sampleID_nonss_mean	Cruise	Station	yyyy-mm-ddThh:mm:ss.sss	Date_mm/dd/yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	DEPTH_M	depthbin	Pressure	CTD-S	CTD-T	Potemp090C	CTD-O2	Oxsatperc	CTD-fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC:TON	NH4_uM	NO2_uM	NO3+NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC:PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON/TN	DOC:DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA:LNA_bacteria	smallVirus:Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m-1	a300_m-1	a351_m-1	a375_m-1	S300-650nm__um-1	R2_of_slope_fit_300-650	S275-295nm__um-1	S300-450nm__um-1
1	MP1_Test_st/Exp.profile_100m	MP1_Test_st/Exp.profile_100m_ss	MP1_Test_st/Exp.profile_100m_ss_mean	MP1_Test_st/Exp.profile_100m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	100	epi	102.764	34.9872	2.056	2.0504	6.03973	7.62662	0.038873	0.128									61	732	18.1	8.4	117.3	7.3			9.721	9.721	0.7981	2.741																		132	6			106				5.26E+05	7.60E+04	1.40E+07	1.02E+06	4.89E+05	1.56E+07	0.17	26.68	136.421	37.547	2494.368							1.218693	0.366583	0.136283	0.104041	17.071877	0.993636	31.562282	13.545169
2	MP1_Test_st/Exp.profile_50m	MP1_Test_st/Exp.profile_50m_ss	MP1_Test_st/Exp.profile_50m_ss_mean	MP1_Test_st/Exp.profile_50m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	50	epi	50.528	34.9874	2.028	2.0253	6.03793	7.63206	0.038873	0.131									51.6	619.2	17.3	6.8	95	7.6			10.515	10.515	0.7918	2.898																		108	6			75				6.47E+05	9.51E+04	1.35E+07	5.00E+06	1.08E+06	1.96E+07	0.17	20.85	94.188	20.04	2755.511							1.249942	0.384014	0.130684	0.082321	19.992387	0.995811	30.777172	18.259831
3	MP1_Test_st/Exp.profile_40m	MP1_Test_st/Exp.profile_40m_ss	MP1_Test_st/Exp.profile_40m_ss_mean	MP1_Test_st/Exp.profile_40m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	40	epi	40.335	34.9839	2.0153	2.0132	6.06006	7.63472	0.043358	0.137									54.2	650.4	17																											106	4			68				8.24E+05	1.19E+05	2.34E+07	6.49E+06	6.72E+05	3.05E+07	0.17	28.37	106.212	34.068	2841.683							1.141204	0.307518	0.088733	0.08643	19.829289	0.971441	33.767318	12.319966
4	MP1_Test_st/Exp.profile_30m	MP1_Test_st/Exp.profile_30m_ss	MP1_Test_st/Exp.profile_30m_ss_mean	MP1_Test_st/Exp.profile_30m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	30	epi	29.841	34.9846	2.0307	2.0291	6.05079	7.63168	0.038873	0.137									52.8	633.6	17.5	5.7	79.7	9.3			11.806	11.806	0.8374	3.087																		86	12			56				8.87E+05	1.17E+05	2.38E+07	6.86E+06	7.80E+05	3.14E+07	0.15	26.84	130.261	40.08	2941.884							1.158635	0.329555	0.092346	0.067013	24.903724	0.996502	33.35467	20.177189
5	MP1_Test_st/Exp.profile_5m	MP1_Test_st/Exp.profile_5m_ss	MP1_Test_st/Exp.profile_5m_ss_mean	MP1_Test_st/Exp.profile_5m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	5	epi	4.651	34.9847	2.0206	2.0203	6.06252	7.63365	0.038125	0.183									53.4	640.8	18	6.7	93.5	8			11.318	11.318	0.6778	3.164																		98	6			78				8.50E+05	1.14E+05	2.29E+07	6.70E+06	8.80E+05	3.04E+07	0.16	26.87	94.188	12.024	3252.505							1.230841	0.371822	0.13231	0.10928	20.021745	0.98861	30.411495	12.058439
6	MP1_Test_st/Exp.profile_10m	MP1_Test_st/Exp.profile_10m_ss	MP1_Test_st/Exp.profile_10m_ss_mean	MP1_Test_st/Exp.profile_10m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	10	epi	10.411	34.9847	2.0311	2.0305	6.04867	7.6316	0.040368	0.133									53.4	640.8	17.9	6.3	88.3	8.5			11.59	11.59	0.8072	3.334																		80	8			86				8.20E+05	1.07E+05	2.16E+07	7.07E+06	8.20E+05	2.95E+07	0.15	26.33	124.248	32.064	2979.96														
7	MP1_Test_st/Exp.profile_20m	MP1_Test_st/Exp.profile_20m_ss	MP1_Test_st/Exp.profile_20m_ss_mean	MP1_Test_st/Exp.profile_20m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	20	epi	19.979	34.9849	2.0393	2.0383	6.05017	7.62998	0.03962	0.13									49.9	598.8	17	8.7	121.6	5.7			8.314	8.314	0.7218	2.229																		106	4			78				9.13E+05	1.16E+05	2.42E+07	7.38E+06	9.51E+05	3.26E+07	0.15	26.56	112.224	30.06	2805.611							1.216932	0.369428	0.129916	0.07925	21.391478	0.996234	30.536994	15.948324
8	MP1_Test_st/Exp.profile_1m	MP1_Test_st/Exp.profile_1m_ss	MP1_Test_st/Exp.profile_1m_ss_mean	MP1_Test_st/Exp.profile_1m_nonss_mean	MP1	Test_st/Exp.profile	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	1	epi	1.961	34.3354	1.9082	1.9081	5.94767	7.68915	0.03663	0.157									41.6	499.2	13.8	1.6	21.9	26.6			12.234	12.234	0.8276	3.287																		82	8			72				9.37E+05	1.14E+05	2.26E+07	7.36E+06	1.00E+06	3.09E+07	0.14	24.11	108.216	42.084	2839.679							1.37313	0.491081	0.170964	0.111086	21.207204	0.996327	26.294333	15.908275
9	MP1_CTD_nr_2_20m	MP1_CTD_nr_2_20m_ss	MP1_CTD_nr_2_20m_ss_mean	MP1_CTD_nr_2_20m_nonss_mean	MP1	CTD_nr_2	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	20	epi	19.979	34.9849	2.0393	2.0383	6.05017	7.62998	0.03962										52.3	627.6	14.9																											24.096	0			5				9.31E+05	1.04E+05	1.60E+07	7.44E+06	1.64E+06	2.51E+07	0.13	17.19	161.616	70.707	5196.97														
10	MP1_CTD_nr_2_10m	MP1_CTD_nr_2_10m_ss	MP1_CTD_nr_2_10m_ss_mean	MP1_CTD_nr_2_10m_nonss_mean	MP1	CTD_nr_2	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	10	epi	10.434	34.9849	2.0277	2.0272	6.05466	7.63225	0.041863										54.6	655.2	15.3																											20.08	0			25				8.85E+05	8.76E+04	1.93E+07	9.43E+06	1.95E+06	3.07E+07	0.11	21.84	101.574	37.196	3961.373														
11	MP1_CTD_nr_2_1m	MP1_CTD_nr_2_1m_ss	MP1_CTD_nr_2_1m_ss_mean	MP1_CTD_nr_2_1m_nonss_mean	MP1	CTD_nr_2	2014-01-16T22:42:00	07.01.14	80.47766667	15.96066667	370	1	epi	1.827	34.3343	1.7356	1.7355	5.50829	7.72335	0.035882	0.232									58.1	697.2	12.8																											46.092	5.051							9.98E+05	1.03E+05	1.84E+07	7.30E+06	1.69E+06	2.74E+07	0.12	18.43	120.172	31.474	3652.361														
12	MP1_B16_1000m	MP1_B16_1000m_ss	MP1_B16_1000m_ss_mean	MP1_B16_1000m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	1000	meso	1013.779	34.8991	-0.2746	-0.3177	5.6755	8.10964	3.89E-02	0.003	28.0391		0.001						45	540	17.2	4.2	59.4	10.6	0.22		12.74	12.96	0.97	7.85	71.84	17.96	5.99	3.31	1.68	0.24	25.31	39.01	468.16	4.003505634	56.05	0.94	9.74					0	0			0				1.97E+05	2.59E+04	1.36E+07	2.01E+06	6.61E+05	1.63E+07	0.15	69.33	18.036	4.008	1040.08														
13	MP1_B16_750m	MP1_B16_750m_ss	MP1_B16_750m_ss_mean	MP1_B16_750m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	750	meso	759.842	34.8929	0.1713	0.1379	5.7142	8.01446	3.96E-02	0	28.0104		0.001						46.2	554.4	17.2	4.9	69.2	9.4	0.09		12.17	12.26	0.97	6.62	60.95	19.27	5.08	2.33	0.65	0.17	30.47	41.12	493.45	4.77	66.83	0.97	8.61					0	0			0				2.63E+05	2.81E+04	1.39E+07	2.00E+06	6.65E+05	1.65E+07	0.12	52.66	46.092	12.024	1356.713														
15	MP1_B16_500m	MP1_B16_500m_ss	MP1_B16_500m_ss_mean	MP1_B16_500m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	500	meso	506.565	34.9051	0.9519	0.9275	5.70604	7.8512	3.81E-02	0	27.9725		0.002						51.6	619.2	17.7	5.4	76.2	9.5	0.05		12.21	12.26	0.94	6.1	58.42	5.41	4.87	2.44	0.54	0.17	27.98	46.73	560.78	5.27	73.72	0.97	8.87					0	0			0				3.23E+05	3.27E+04	1.25E+07	2.40E+06	7.42E+05	1.56E+07	0.11	38.61	30.038	5.006	1494.994														
16	MP1_B16_100m	MP1_B16_100m_ss	MP1_B16_100m_ss_mean	MP1_B16_100m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	100	epi	100.722	34.5665	-0.1734	-0.1768	6.02166	8.10621	6.50E-02	0.003	27.7652	2.075645756	0.027		0.001				54.2	650.4	16	6.2	86.2	8.8	0.5		9.34	9.84	0.72	4.37	51.86	2.01	4.32	4.54	1.26	0.32	13.33	49.88	598.54	5.84	81.7	0.95	8.55					55.556	10.101			16				7.38E+05	5.57E+04	1.99E+07	4.25E+06	1.28E+06	2.54E+07	0.08	26.96	45.028	11.257	2158.224														
17	MP1_B16_50m	MP1_B16_50m_ss	MP1_B16_50m_ss_mean	MP1_B16_50m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	50	epi	51.516	34.2841	-1.8284	-1.8294	6.66951	8.49451	4.78E-02	0.006	27.5997	11.56004489	0.015		0.002				55.9	670.8	12.7	7	98	8	0.45		5.25	5.7	0.43	2.49	40.62	0.89	3.39	4.53	0.64	0.32	10.46	52.51	630.18	6.68	93.47	0.95	7.87					75.758	5.051			38				7.47E+05	5.44E+04	1.90E+07	7.87E+06	2.42E+06	2.93E+07	0.08	25.42	69.505	13.15	2419.537														
18	MP1_B16_30m	MP1_B16_30m_ss	MP1_B16_30m_ss_mean	MP1_B16_30m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	30	epi	28.716	34.2802	-1.8445	-1.845	6.70653	8.49849	5.46E-02	0.005	27.597	8.098006645	0.015		0.001				56.7	680.4	12.6	7	97.6	8.1	0.46		5.17	5.63	0.45	2.6	45.29	11.9	3.77	4.78	0.62	0.34	11.05	52.93	635.11	6.63	92.8	0.95	7.98					140.704	5.025			45				1.38E+06	1.41E+05	2.26E+07	8.44E+06	2.61E+06	3.36E+07	0.11	16.41	86.358	20.651	3562.578														
19	MP1_B16_20m	MP1_B16_20m_ss	MP1_B16_20m_ss_mean	MP1_B16_20m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	20	epi	20.7	34.2812	-1.8466	-1.847	6.6915	8.49892	5.46E-02	0.003	27.5979	6.76056338	0.018		0.001				58.6	703.2	12.3	7	97.6	8.4	0.42		4.91	5.33	0.41	2.4	37.77	7.86	3.15	3.89	0.86	0.28	11.33	55.45	665.43	6.692280676	93.69	0.96	8.29					106.061	5.051			40				7.81E+05	5.71E+04	2.12E+07	7.31E+06	2.16E+06	3.06E+07	0.08	27.1	65.122	15.028	2306.199														
20	MP1_B16_10m	MP1_B16_10m_ss	MP1_B16_10m_ss_mean	MP1_B16_10m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	10	epi	10.35	34.2854	-1.8503	-1.8505	6.7218	8.49955	5.31E-02	0.004	27.6013	8.624031008	0.019		0.002				55.8	669.6	12.8	7.3	101.5	7.7	0.76		5.13	5.55	0.39	2.59	36.14	7.19	3.01	4.06	1.11	0.29	10.39	52.79	633.46	6.96	97.44	0.96	7.58					85.427	10.05			5				8.25E+05	6.15E+04	2.13E+07	8.90E+06	2.51E+06	3.27E+07	0.08	25.8	65.748	19.411	2397.621														
21	MP1_B16_5m	MP1_B16_5m_ss	MP1_B16_5m_ss_mean	MP1_B16_5m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	5	epi	5.772	34.2879	-1.8518	-1.8519	6.73415	8.49975	5.83E-02	0.007	27.6034	6.049723757	0.018		0.001				53.5	642	12.6	6.7	94.4	7.9	0.46		5.1	5.86	0.43	2.48	34.32	4.77	2.86	3.73	0.35	0.27	10.73	50.64	607.68	6.47	90.63	0.96	7.82					101.01	5.051			30				7.90E+05	5.48E+04	2.23E+07	7.62E+06	2.08E+06	3.20E+07	0.07	28.22	56.982	13.15	2556.043														
22	MP1_B16_1m	MP1_B16_1m_ss	MP1_B16_1m_ss_mean	MP1_B16_1m_nonss_mean	MP1	B16	2014-01-16T22:42:00	10.01.14	81.77133333	19.16466667	3166	1	epi	1.342	34.2777	-1.849	-1.849	6.71858	8.49969	5.76E-02	14.619	27.595	5.673076923	0.015		0.001				55	660	12.3	6.7	93.4	8.2	0.49		5.17	5.63	0.43	2.61	34.04	2.75	2.84	4.54	1.05	0.32	8.75	52.16	625.96	6.35	88.84	0.95	8.22					141.414	15.152			35				8.49E+05	6.64E+04	1.78E+07	6.17E+06	1.86E+06	2.58E+07	0.08	20.94	69.462	12.516	2328.536														
23	MP1_B14_1000m	MP1_B14_1000m_ss	MP1_B14_1000m_ss_mean	MP1_B14_1000m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	1000	meso	1014.502	34.9149	-0.2298	-0.2733	5.66386	8.09908	3.81E-02	0.031	28.0496								50.6	607.2	17.7	3.7	51.1	13.9	0.18		13.56	14.05	1.03	8.8																		0	0			0				3.44E+05	3.05E+04	9.61E+06	2.15E+06	6.22E+05	1.24E+07	0.1	27.96	21.916	5.009	1226.675														
24	MP1_B14_750m	MP1_B14_750m_ss	MP1_B14_750m_ss_mean	MP1_B14_750m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	750	meso	759.358	34.9259	0.3867	0.352	5.7057	7.9672	3.89E-02	0.028	28.0247								53	636	18.4	5.6	78	9.5	0.1		12.73	12.83	0.99	7.27																		0	0			0				2.20E+05	6.67E+03	3.52E+06	1.64E+06	3.26E+05	5.49E+06	0.03	15.99	21.277	6.884	1140.801														
25	MP1_B14_500m	MP1_B14_500m_ss	MP1_B14_500m_ss_mean	MP1_B14_500m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	500	meso	507.523	34.9604	1.4912	1.4644	5.75252	7.7393	3.81E-02	0.006	27.9792								44.1	529.2	14.8	3.1	43.5	14.2	0.07		11.62	11.69	0.88	5.75																		10.05	0			0				3.29E+05	2.28E+04	9.46E+06	3.10E+06	8.50E+05	1.34E+07	0.07	28.75	31.935	8.766	1465.874														
26	MP1_B14_200m	MP1_B14_200m_ss	MP1_B14_200m_ss_mean	MP1_B14_200m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	200	meso	202.715	34.9361	2.2123	2.201	5.71013	7.59893	4.11E-02	0.003	27.9032								45.2	542.4	15	3	41.4	15.3	0.17		11.87	12.04	0.89	5.28																		5.025	0			0				5.06E+05	2.83E+04	1.27E+07	4.42E+06	1.18E+06	1.83E+07	0.06	25.03	41.954	6.888	1417.032														
27	MP1_B14_100m	MP1_B14_100m_ss	MP1_B14_100m_ss_mean	MP1_B14_100m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	100	epi	100.838	34.7471	1.3896	1.3848	5.82166	7.77081	5.31E-02	0.013	27.8152								50.5	606	16.8	6.6	92.7	7.6	0.14		10.04	10.18	0.69	4.85																		25.126	0			5				7.52E+05	5.54E+04	1.40E+07	4.52E+06	1.33E+06	1.98E+07	0.08	18.57	67.001	9.393	2120.225														
28	MP1_B14_50m	MP1_B14_50m_ss	MP1_B14_50m_ss_mean	MP1_B14_50m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	50	epi	50.603	34.3709	-1.2732	-1.2745	6.54221	8.36127	5.23E-02	0.024	27.6535								51.7	620.4	15.1	7.3	102.1	7.1	0.27		7.54	7.81	0.55	3.56																		60.302	5.025			40				7.96E+05	5.53E+04	1.54E+07	6.26E+06	1.93E+06	2.36E+07	0.07	19.29	69.505	11.271	2786.475														
29	MP1_B14_30m	MP1_B14_30m_ss	MP1_B14_30m_ss_mean	MP1_B14_30m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	30	epi	31.247	34.334	-1.4864	-1.4871	6.58123	8.41221	5.01E-02	0.02	27.6305								53.7	644.4	14.3	6.9	95.9	7.8	0.17		7.28	7.45	0.56	3.63																		60.606	5.051			15				7.90E+05	4.71E+04	1.26E+07	6.53E+06	1.78E+06	2.09E+07	0.06	16	72.636	17.533	2840.952														
30	MP1_B14_20m	MP1_B14_20m_ss	MP1_B14_20m_ss_mean	MP1_B14_20m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	20	epi	20.405	34.3274	-1.5267	-1.5271	6.59541	8.42188	5.46E-02	0.018	27.6264								54.6	655.2	14.3	7	98.6	7.8	0.16		7.1	7.26	0.55	3.53																		50.251	15.075			10				9.97E+05	7.79E+04	1.93E+07	6.63E+06	1.65E+06	2.76E+07	0.08	19.38	60.739	17.533	2633.688														
31	MP1_B14_10m	MP1_B14_10m_ss	MP1_B14_10m_ss_mean	MP1_B14_10m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	10	epi	10.476	34.3243	-1.5563	-1.5565	6.61683	8.42889	5.16E-02	0.02	27.6247								51	612	13.8	6.2	86.1	8.3	0.21		7.44	7.65	0.58	3.58																		45.455	0			30				7.43E+05	5.34E+04	1.48E+07	6.03E+06	1.49E+06	2.23E+07	0.08	19.92	60.113	15.028	2584.847														
32	MP1_B14_5m	MP1_B14_5m_ss	MP1_B14_5m_ss_mean	MP1_B14_5m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	5	epi	5.183	34.3242	-1.543	-1.5431	6.59457	8.42583	5.01E-02	0.184	27.6242								54.6	655.2	15	7.8	108.6	7	0.16		7.08	7.24	0.56	3.49																		65.657	5.051			15				8.82E+05	6.06E+04	1.95E+07	6.81E+06	1.92E+06	2.82E+07	0.07	22.06	70.131	20.038	2728.24														
33	MP1_B14_1m	MP1_B14_1m_ss	MP1_B14_1m_ss_mean	MP1_B14_1m_nonss_mean	MP1	B14	2014-01-16T22:42:00	10.01.14	81.64883333	18.26033333	2207	1	epi	2.166	34.3235	-1.5253	-1.5254	6.58632	8.42179	5.38E-02	0.154	27.6231								51	612	13.9	6.4	89.6	8	0.14		7.36	7.5	0.54	3.36																		101.01	5.051			61				9.09E+05	7.04E+04	1.82E+07	6.95E+06	2.00E+06	2.72E+07	0.08	20.06	69.505	16.281	2596.118		0.022755464	0.010677865	0.014741443	0.016482439	1.885585792	1.298757	0.42592	0.147257	0.098894	20.516131	0.993873	29.219118	14.389691
34	MP1_B11_1000m	MP1_B11_1000m_ss	MP1_B11_1000m_ss_mean	MP1_B11_1000m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	1000	meso	1014.007	34.9165	-0.2612	-0.3044	5.64145	8.10577	3.89E-02	0.162	28.0525		0.002						51.8	621.6	20.1	7.9	110.6	6.6	0.08		12.12	12.2	0.93	9.36	32.06	4.2	2.67	3.33	0.98	0.24	11.22	49.13	589.54	7.66	107.27	0.38	6.41					5.051	0			0				4.02E+05	3.28E+04	1.23E+07	2.71E+06	7.93E+05	1.58E+07	0.09	30.67	25.047	8.14	1562.93		0.02479159	0.01364249	0.016996534	0.016998097	1.946589339	1.061818	0.375524	0.156739	0.115285	18.560234	0.990624	26.478953	10.352931
35	MP1_B11_750m	MP1_B11_750m_ss	MP1_B11_750m_ss_mean	MP1_B11_750m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	750	meso	760.405	34.9234	0.1316	0.0984	5.69041	8.02121	3.89E-02	0.088	28.0372		0.005						37.2	446.4	13.1	1.1	14.8	35.1	0.18		11.86	12.04	0.91	8.28	22.24	2.75	1.85	2.64	0.24	0.19	9.84	35.35	424.16	0.87	12.2	0.07	40.55					10.101	0			5				4.17E+05	3.47E+04	1.34E+07	2.48E+06	7.73E+05	1.67E+07	0.09	32.12	33.187	10.019	1547.902		0.024530736	0.013462987	0.017066103	0.018018497	1.82980647	0.977691	0.277579	0.074915	0.019643	25.681787	0.994256	32.665792	37.147831
36	MP1_B11_500m	MP1_B11_500m_ss	MP1_B11_500m_ss_mean	MP1_B11_500m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	500	meso	507.104	35.0066	1.9592	1.9305	5.77782	7.64449	3.66E-02	0.067	27.9803		0.009						52.2	626.4	17.1	6.3	88.1	8.3	0.12		10.69	10.81	0.85	5.85	25.07	1.63	2.09	2.33	0.17	0.17	12.55	50.11	601.33	6.12	85.73	0.36	8.18					15.152	0			15				4.94E+05	3.40E+04	9.62E+06	4.55E+06	1.18E+06	1.53E+07	0.07	19.48	35.066	7.514	1681.277		0.022745197	0.011363526	0.018243402	0.026448202	1.848103583	1.143101	0.364687	0.134387	0.106751	18.727916	0.990737	29.13486	11.72613
37	MP1_B11_200m	MP1_B11_200m_ss	MP1_B11_200m_ss_mean	MP1_B11_200m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	200	meso	202.857	35.0277	3.0115	2.9988	5.82991	7.44263	4.26E-02	0.06	27.9062	6.302521008	0.014		0.0009				50.4	604.8	15.5	5.3	74.8	9.4	0.11		10.05	10.16	0.74	4.78	28.01	0.82	2.33	3.53	0.61	0.25	9.27	48.07	576.79	5.09	71.23	0.33	9.45					90.452	0			80				8.60E+05	6.54E+04	1.55E+07	6.26E+06	1.61E+06	2.34E+07	0.08	18.05	77.019	18.159	3033.187		0.020333698	0.010131082	0.015611937	0.020415765	1.820679035	1.183832	0.366267	0.131361	0.096816	19.335296	0.993762	30.065593	13.910851
38	MP1_B11_100m	MP1_B11_100m_ss	MP1_B11_100m_ss_mean	MP1_B11_100m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	100	epi	101.59	34.9745	2.7218	2.7157	5.8349	7.49965	4.04E-02	0.031	27.8901	10.40816327	0.015		0.0015				52.5	630	16.5	6.5	91.1	8.1	0.03		9.96	9.99	0.75	4.78	35.61	1.69	2.97	4.21	0.9	0.3	9.87	49.53	594.39	6.21	86.93	0.38	7.98					20.202	5.051			40				7.71E+05	5.45E+04	1.70E+07	5.79E+06	1.53E+06	2.43E+07	0.08	22.06	75.767	20.664	2696.306		0.021845942	0.010814095	0.019251479	0.029477974	1.883352513	1.179407	0.364145	0.129239	0.087785	20.594577	0.992572	30.297385	13.707401
39	MP1_B11_50m	MP1_B11_50m_ss	MP1_B11_50m_ss_mean	MP1_B11_50m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	50	epi	50.354	34.6663	0.5459	0.5439	6.24819	7.94794	4.19E-02	0.03	27.8059	7.894736842	0.014		0.0011				47.6	571.2	14.1	5.1	70.7	9.4	0.08		8.97	9.05	0.69	4.42	30.98	6.52	2.58	3.18	0.71	0.23	11.37	45.02	540.22	4.82	67.52	0.34	9.33					35.354	0			51				8.81E+05	6.61E+04	1.72E+07	6.00E+06	1.47E+06	2.47E+07	0.08	19.54	63.244	10.645	2993.738		0.021939269	0.010775489	0.016774507	0.024122063	1.845691599	1.175388	0.33249	0.10219	0.05613	22.244099	0.996891	32.911139	28.189528
40	MP1_B11_30m	MP1_B11_30m_ss	MP1_B11_30m_ss_mean	MP1_B11_30m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	30	epi	30.489	34.506	-0.3506	-0.3515	6.40524	8.14802	4.56E-02	0.025	27.725	10.72289157	0.012		0.0013				52.8	633.6	15.1	5.9	82.6	8.9	0.59		8.61	9.2	0.68	3.99	33.96	1.58	2.83	3.57	1.12	0.25	11.11	49.97	599.64	5.65	79.03	0.37	8.85					35.176	0			25				8.26E+05	6.35E+04	1.52E+07	5.77E+06	1.46E+06	2.24E+07	0.08	18.39	78.223	21.277	2801.627		0.022356138	0.010568843	0.016462406	0.02143954	1.884536219	1.22637	0.369654	0.127839	0.077173	20.645811	0.995128	30.89857	17.771359
41	MP1_B11_20m	MP1_B11_20m_ss	MP1_B11_20m_ss_mean	MP1_B11_20m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	20	epi	20.156	34.4469	-0.7481	-0.7487	6.47863	8.23882	4.71E-02	0.028	27.695	13.08	0.012		0.0016				48.3	579.6	13.9	5.6	77.8	8.7	0.07		8.27	8.34	0.63	3.99	31.99	2.19	2.67	3.98	0.72	0.28	9.38	45.63	547.61	5.28	73.86	0.38	8.65					106.061	5.051			35				9.87E+05	7.30E+04	1.83E+07	6.53E+06	1.56E+06	2.64E+07	0.08	18.55	56.356	8.766	2805.886		0.021907765	0.010614286	0.01611068	0.021500865	1.8105127	1.220093	0.363377	0.107744	0.059381	22.88368	0.995556	31.998803	21.893925
42	MP1_B11_10m	MP1_B11_10m_ss	MP1_B11_10m_ss_mean	MP1_B11_10m_nonss_mean	MP1	B11	2014-01-16T22:42:00	10.01.14	81.52361111	17.43611111	1737	10	epi	10.422	34.4388	-0.7972	-0.7975	6.50007	8.25019	4.56E-02	0.028	27.6905	7.150684932	0.018		0.0013				52.4	628.8	14.5	5.7	79.2	9.3	0.31		8.53	8.84	0.62	3.91	31.08	1.25	2.59	3.41	0.51	0.24	10.64	49.81	597.72	5.42	75.83	0.37	9.2					20.202	5.051			25				9.20E+05	7.16E+04	1.74E+07	6.10E+06	1.54E+06	2.50E+07	0.08	18.9	92.048	25.673	2817.783		0.021636457	0.010696225	0.016632153	0.0224739	1.940861798	1.264302	0.393768	0.133529	0.087469	21.363126	0.995089	30.77735	15.713733
