"Seq"	"sampleID"	"sampleID_ss"	"sampleID_ss_mean"	"sampleID_nonss_mean"	"Cruise"	"Station"	"yyyy.mm.ddThh.mm.ss.sss"	"Date_mm.dd.yy"	"Latitude_degrees_north"	"Longitude_degrees_east"	"Bot_Depth_m"	"DEPTH_M"	"depthbin"	"Pressure"	"CTD.S"	"CTD.T"	"Potemp090C"	"CTD.O2"	"Oxsatperc"	"CTD.fluo"	"Turbidity"	"sigma"	"percChl_a_10"	"Chl_a"	"Chl_a_AVG"	"Chl_a_10um"	"Chla10_AVG"	"Phaeop_AVG"	"Phaeop_SD"	"TOC_uM"	"TOC_ug"	"TN_uM"	"TON_uM"	"TON_ug"	"TOC.TON"	"NH4_uM"	"NO2_uM"	"NO3.NO2_uM"	"Total_inorgN_uM"	"PO4_uM"	"SiOH4_uM"	"POC_ug"	"sd_POC_ug"	"POC_uM"	"PON_ug"	"sd_PON_ug"	"PON_uM"	"POC.PON"	"DOC_uM"	"DOC_ug"	"DON_uM"	"DON_ug"	"DON.TN"	"DOC.DON"	"BP_ug"	"sd_BP"	"BR"	"BCD"	"Picophytoeukaryotes"	"Nanophytoplankton"	"Large_Nanphyto"	"Small_Nanophyto"	"Synechococcus"	"Phaeocystis"	"Cryptophytes"	"Dead_phyto"	"Bacteria"	"HNA_bacteria"	"Small_virus"	"Medium_virus"	"Large_virus"	"Total_virus"	"HNA.LNA_bacteria"	"smallVirus.Bacteria"	"HNF"	"Large_HNF"	"HNA_Bac_from_HNF_plot"	"LysoTrack_HNF"	"Humic_Fl_A_RU"	"Humic_FL_C_RU"	"Humic_Fl_M_RU"	"Aminoacid_Fl_T_RU"	"Fluorescence_Index"	"a255_m.1"	"a300_m.1"	"a351_m.1"	"a375_m.1"	"S300.650nm__um.1"	"R2_of_slope_fit_300.650"	"S275.295nm__um.1"	"S300.450nm__um.1"	"sampleID2"	"sf0.4-3"	"sf3-10"	"sf10-50"	"sf50-200"	"sf3-180"
"104"	105	"MP1_D4_10m"	"MP1_D4_10m_ss"	"MP1_D4_10m_ss_mean"	"MP1_D4_10m_nonss_mean"	"MP1"	"D4"	"2014-01-16T22:42:00"	"12.01.14"	79.00416667	7.997666667	1085	"10"	"epi"	11.183	35.1303	5.0007	4.9998	5.72543	7.0828	0.0381	0.032	27.7786	30	0.008	NA	0.002	NA	NA	NA	37.2	446.4	NA	NA	NA	NA	0.16	NA	10.85	11.01	0.68	4.79	32.5	3.87	2.71	4.81	0.23	0.34	7.89	34.49	413.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D4_10"	"MP1_D4_10_0.4.3"	"MP1_D4_10_3.10"	"MP1_D4_10_10.50"	"MP1_D4_10_50.200"	"MP1_D4_10_3.180"
"105"	106	"MP1_D4_5m"	"MP1_D4_5m_ss"	"MP1_D4_5m_ss_mean"	"MP1_D4_5m_nonss_mean"	"MP1"	"D4"	"2014-01-16T22:42:00"	"12.01.14"	79.00416667	7.997666667	1085	"5"	"epi"	5.822	35.13	5.0116	5.0112	5.72177	7.08095	0.0381	0.033	27.7771	0.545454545	0.009	NA	0	NA	NA	NA	37.1	445.2	NA	NA	NA	NA	0.08	NA	10.59	10.67	0.72	4.96	30.14	7.27	2.51	4.65	1.55	0.33	7.56	34.59	415.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D4_5"	"MP1_D4_5_0.4.3"	"MP1_D4_5_3.10"	"MP1_D4_5_10.50"	"MP1_D4_5_50.200"	"MP1_D4_5_3.180"
"106"	107	"MP1_D4_1m"	"MP1_D4_1m_ss"	"MP1_D4_1m_ss_mean"	"MP1_D4_1m_nonss_mean"	"MP1"	"D4"	"2014-01-16T22:42:00"	"12.01.14"	79.00416667	7.997666667	1085	"1"	"epi"	2.231	35.13	5.0089	5.0087	5.71184	7.08141	0.0404	0.157	27.7774	13.60946746	0.008	NA	0.001	NA	NA	NA	36.5	438	NA	NA	NA	NA	0.13	NA	10.22	10.35	0.71	4.64	22.61	1.97	1.88	3.12	0.31	0.22	8.47	34.62	415.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D4_1"	"MP1_D4_1_0.4.3"	"MP1_D4_1_3.10"	"MP1_D4_1_10.50"	"MP1_D4_1_50.200"	"MP1_D4_1_3.180"
"107"	108	"MP1_D6_258m"	"MP1_D6_258m_ss"	"MP1_D6_258m_ss_mean"	"MP1_D6_258m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"258"	"meso"	251.484	34.9033	1.2578	1.2456	6.13285	7.78913	0.0404	0.327	27.9501	NA	NA	NA	NA	NA	NA	NA	31.3	375.6	NA	NA	NA	NA	0.14	NA	10.09	10.23	0.63	4.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_258"	"MP1_D6_258_0.4.3"	"MP1_D6_258_3.10"	"MP1_D6_258_10.50"	"MP1_D6_258_50.200"	"MP1_D6_258_3.180"
"108"	109	"MP1_D6_200m"	"MP1_D6_200m_ss"	"MP1_D6_200m_ss_mean"	"MP1_D6_200m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"200"	"meso"	204.378	34.9026	1.3031	1.2932	6.12619	7.78005	0.0501	0.313	27.9463	28.95833333	0.024	NA	0.007	NA	NA	NA	59.3	711.6	NA	NA	NA	NA	0.11	NA	9.91	10.02	0.58	4.32	27.81	1.64	2.32	4.37	0.38	0.31	7.42	56.98	683.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_200"	"MP1_D6_200_0.4.3"	"MP1_D6_200_3.10"	"MP1_D6_200_10.50"	"MP1_D6_200_50.200"	"MP1_D6_200_3.180"
"109"	110	"MP1_D6_150m"	"MP1_D6_150m_ss"	"MP1_D6_150m_ss_mean"	"MP1_D6_150m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"150"	"epi"	152.174	34.9069	1.4538	1.4464	6.11923	7.74956	0.0426	0.27	27.9389	NA	NA	NA	NA	NA	NA	NA	51.2	614.4	NA	NA	NA	NA	0.01	NA	9.98	9.99	0.59	4.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_150"	"MP1_D6_150_0.4.3"	"MP1_D6_150_3.10"	"MP1_D6_150_10.50"	"MP1_D6_150_50.200"	"MP1_D6_150_3.180"
"110"	111	"MP1_D6_100m"	"MP1_D6_100m_ss"	"MP1_D6_100m_ss_mean"	"MP1_D6_100m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"100"	"epi"	101.226	34.931	1.8072	1.8019	6.09016	7.67821	0.0419	0.226	27.9317	18.15789474	0.019	NA	0.003	NA	NA	NA	43.1	517.2	NA	NA	NA	NA	0.01	NA	9.87	9.88	0.64	4.74	34.75	1.88	2.9	3.23	0.24	0.23	12.56	40.2	482.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_100"	"MP1_D6_100_0.4.3"	"MP1_D6_100_3.10"	"MP1_D6_100_10.50"	"MP1_D6_100_50.200"	"MP1_D6_100_3.180"
"111"	112	"MP1_D6_50m"	"MP1_D6_50m_ss"	"MP1_D6_50m_ss_mean"	"MP1_D6_50m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"50"	"epi"	50.44	34.9311	1.8046	1.802	6.10529	7.67871	0.0389	0.231	27.9319	21.55688623	0.017	NA	0.004	NA	NA	NA	45.6	547.2	NA	NA	NA	NA	0.06	NA	9.37	9.43	0.65	3.5	34.25	3.29	2.85	4.53	1.71	0.32	8.83	42.75	512.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_50"	"MP1_D6_50_0.4.3"	"MP1_D6_50_3.10"	"MP1_D6_50_10.50"	"MP1_D6_50_50.200"	"MP1_D6_50_3.180"
"112"	113	"MP1_D6_30m"	"MP1_D6_30m_ss"	"MP1_D6_30m_ss_mean"	"MP1_D6_30m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"30"	"epi"	30.412	34.9309	1.7989	1.7974	6.10765	7.67983	0.0434	0.524	27.9322	29.68277946	0.016	NA	0.005	NA	NA	NA	41.2	494.4	NA	NA	NA	NA	0.06	NA	9.66	9.72	0.69	3.49	35.91	5.98	2.99	3.56	0.75	0.25	11.78	38.21	458.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_30"	"MP1_D6_30_0.4.3"	"MP1_D6_30_3.10"	"MP1_D6_30_10.50"	"MP1_D6_30_50.200"	"MP1_D6_30_3.180"
"113"	114	"MP1_D6_20m"	"MP1_D6_20m_ss"	"MP1_D6_20m_ss_mean"	"MP1_D6_20m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"20"	"epi"	20.178	34.9254	1.738	1.737	6.10449	7.69213	0.0411	0.235	27.9325	30.89108911	0.015	NA	0.005	NA	NA	NA	49.4	592.8	NA	NA	NA	NA	0.01	NA	9.64	9.65	0.69	3.55	33.65	8.79	2.8	5.02	2.89	0.36	7.82	46.6	559.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_20"	"MP1_D6_20_0.4.3"	"MP1_D6_20_3.10"	"MP1_D6_20_10.50"	"MP1_D6_20_50.200"	"MP1_D6_20_3.180"
"114"	115	"MP1_D6_10m"	"MP1_D6_10m_ss"	"MP1_D6_10m_ss_mean"	"MP1_D6_10m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"10"	"epi"	10.312	34.926	1.7341	1.7336	6.107	7.69286	0.0411	0.231	27.9332	26.35359116	0.018	NA	0.005	NA	NA	NA	63.1	757.2	NA	NA	NA	NA	0.02	NA	9.22	9.24	0.66	3.53	33.55	2.14	2.8	4.62	1.56	0.33	8.48	60.3	723.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_10"	"MP1_D6_10_0.4.3"	"MP1_D6_10_3.10"	"MP1_D6_10_10.50"	"MP1_D6_10_50.200"	"MP1_D6_10_3.180"
"115"	116	"MP1_D6_5m"	"MP1_D6_5m_ss"	"MP1_D6_5m_ss_mean"	"MP1_D6_5m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"5"	"epi"	4.819	34.9263	1.7521	1.7518	6.12634	7.68931	0.0419	0.262	27.9321	35.72368421	0.015	NA	0.005	NA	NA	NA	45.2	542.4	NA	NA	NA	NA	0.04	NA	9.66	9.7	0.67	3.54	25.05	0.18	2.09	4.05	0.37	0.29	7.22	43.11	517.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_5"	"MP1_D6_5_0.4.3"	"MP1_D6_5_3.10"	"MP1_D6_5_10.50"	"MP1_D6_5_50.200"	"MP1_D6_5_3.180"
"116"	117	"MP1_D6_1m"	"MP1_D6_1m_ss"	"MP1_D6_1m_ss_mean"	"MP1_D6_1m_nonss_mean"	"MP1"	"D6"	"2014-01-16T22:42:00"	"13.01.14"	78.99866667	9.996	258	"1"	"epi"	2.521	34.9254	1.7439	1.7437	6.10576	7.69097	0.0389	0.606	27.932	34.31438127	0.015	NA	0.005	NA	NA	NA	36.6	439.2	NA	NA	NA	NA	0.28	NA	9.56	9.84	0.69	3.51	27.72	1.36	2.31	3.8	0.93	0.27	8.5	34.29	411.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_D6_1"	"MP1_D6_1_0.4.3"	"MP1_D6_1_3.10"	"MP1_D6_1_10.50"	"MP1_D6_1_50.200"	"MP1_D6_1_3.180"
"117"	118	"MP2_St1/Exp.profile_1000m"	"MP2_St1/Exp.profile_1000m_ss"	"MP2_St1/Exp.profile_1000m_ss_mean"	"MP2_St1/Exp.profile_1000m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"1000"	"meso"	NA	34.9	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.5	798	18.3	4.3	NA	15.6	0	0	14.045	14.045	1.239	8.08	112.559	13.366	9.38	15.666	0.994	1.12	8.38	57.12	685.44	3.14	43.9	0.17	18.21	NA	NA	NA	NA	6	0	NA	NA	5.005	NA	NA	129	90400	25200	1150000	693000	109000	1960000	0.39	22	50.111	9.465	1675.39	NA	NA	NA	NA	NA	NA	1.087197	0.331813	0.108422	0.066968	22.581717	0.997376	29.759724	18.778934	"MP2_St1/Exp.profile_1000"	"MP2_St1/Exp.profile_1000_0.4.3"	"MP2_St1/Exp.profile_1000_3.10"	"MP2_St1/Exp.profile_1000_10.50"	"MP2_St1/Exp.profile_1000_50.200"	"MP2_St1/Exp.profile_1000_3.180"
"118"	119	"MP2_St1/Exp.profile_750m"	"MP2_St1/Exp.profile_750m_ss"	"MP2_St1/Exp.profile_750m_ss_mean"	"MP2_St1/Exp.profile_750m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"750"	"meso"	NA	35.04	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.2	734.4	17.7	6.9	NA	8.9	0	0	10.796	10.796	0.749	5.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	15.523	NA	NA	78	94700	26400	1360000	1020000	170000	2540000	0.39	27	54.609	11.022	2411.824	NA	NA	NA	NA	NA	NA	1.087197	0.331813	0.108422	0.066968	22.581717	0.997376	29.759724	18.778934	"MP2_St1/Exp.profile_750"	"MP2_St1/Exp.profile_750_0.4.3"	"MP2_St1/Exp.profile_750_3.10"	"MP2_St1/Exp.profile_750_10.50"	"MP2_St1/Exp.profile_750_50.200"	"MP2_St1/Exp.profile_750_3.180"
"119"	120	"MP2_St1/Exp.profile_500m"	"MP2_St1/Exp.profile_500m_ss"	"MP2_St1/Exp.profile_500m_ss_mean"	"MP2_St1/Exp.profile_500m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"500"	"meso"	NA	35.05	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.7	812.4	18.1	5.1	NA	13.4	1.16	0	11.879	13.039	0.82	5.34	59.018	17.017	4.918	7.475	4.163	0.53	9.21	62.78	753.38	4.53	63.38	0.25	13.87	NA	NA	NA	NA	7	1	NA	NA	28.042	NA	NA	196	129000	43900	1910000	1350000	215000	3470000	0.51	27	60.158	11.609	3034.828	NA	0.019282797	0.009515086	0.01349727	0.014237722	1.833998023	1.131857	0.335019	0.109325	0.063265	20.859624	0.994738	32.465259	20.396904	"MP2_St1/Exp.profile_500"	"MP2_St1/Exp.profile_500_0.4.3"	"MP2_St1/Exp.profile_500_3.10"	"MP2_St1/Exp.profile_500_10.50"	"MP2_St1/Exp.profile_500_50.200"	"MP2_St1/Exp.profile_500_3.180"
"120"	121	"MP2_St1/Exp.profile_200m"	"MP2_St1/Exp.profile_200m_ss"	"MP2_St1/Exp.profile_200m_ss_mean"	"MP2_St1/Exp.profile_200m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"200"	"meso"	NA	35.0387	3.162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.7	788.4	17	3.8	NA	17.2	1.6	0	11.58	13.18	0.767	5.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	29.044	NA	NA	166	144000	40800	2030000	1400000	190000	3620000	0.4	25	73.879	8.443	3233.245	NA	0.044263735	0.112928758	NA	NA	NA	1.254412	0.411514	0.155881	0.109821	17.935586	0.996017	28.852628	13.778441	"MP2_St1/Exp.profile_200"	"MP2_St1/Exp.profile_200_0.4.3"	"MP2_St1/Exp.profile_200_3.10"	"MP2_St1/Exp.profile_200_10.50"	"MP2_St1/Exp.profile_200_50.200"	"MP2_St1/Exp.profile_200_3.180"
"121"	122	"MP2_St1/Exp.profile_100m"	"MP2_St1/Exp.profile_100m_ss"	"MP2_St1/Exp.profile_100m_ss_mean"	"MP2_St1/Exp.profile_100m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"100"	"epi"	NA	35.0391	3.1493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.3	663.6	13.2	1.7	NA	32.3	0	0	11.487	11.487	0.767	5.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	35.553	NA	NA	139	133000	37100	1610000	1440000	240000	3290000	0.39	25	99.208	19.525	3116.623	NA	0.020212418	0.009659477	0.013313196	0.014021499	1.87598827	1.17742	0.359855	0.122646	0.081192	20.701294	0.996792	30.71875	17.055976	"MP2_St1/Exp.profile_100"	"MP2_St1/Exp.profile_100_0.4.3"	"MP2_St1/Exp.profile_100_3.10"	"MP2_St1/Exp.profile_100_10.50"	"MP2_St1/Exp.profile_100_50.200"	"MP2_St1/Exp.profile_100_3.180"
"122"	123	"MP2_St1/Exp.profile_50m"	"MP2_St1/Exp.profile_50m_ss"	"MP2_St1/Exp.profile_50m_ss_mean"	"MP2_St1/Exp.profile_50m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"50"	"epi"	NA	35.0389	3.146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.2	722.4	16.4	3.5	NA	17.2	1.29	0	11.608	12.898	0.695	5.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	NA	NA	37.556	NA	NA	141	141000	39100	1920000	1540000	277000	3730000	0.38	27	92.348	8.971	3069.129	NA	0.02068672	0.009649057	0.013959354	0.017175202	1.834859676	1.182703	0.353623	0.12102	0.070354	22.144485	0.997633	31.110297	17.558937	"MP2_St1/Exp.profile_50"	"MP2_St1/Exp.profile_50_0.4.3"	"MP2_St1/Exp.profile_50_3.10"	"MP2_St1/Exp.profile_50_10.50"	"MP2_St1/Exp.profile_50_50.200"	"MP2_St1/Exp.profile_50_3.180"
"123"	124	"MP2_St1/Exp.profile_20m"	"MP2_St1/Exp.profile_20m_ss"	"MP2_St1/Exp.profile_20m_ss_mean"	"MP2_St1/Exp.profile_20m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"20"	"epi"	NA	35.0389	3.1306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.9	730.8	16.5	6.3	NA	9.7	0.19	0	10.034	10.224	0.641	4.09	93.799	40.975	7.817	12.432	3.504	0.89	8.8	53.08	637	5.39	75.43	0.33	9.85	NA	NA	NA	NA	10	1	NA	NA	35.536	NA	NA	149	128000	37100	1690000	1380000	227000	3300000	0.41	26	65.928	8.439	2831.224	NA	0.02112481	0.009659852	0.014326597	0.015572621	1.79398319	1.168976	0.344502	0.116505	0.075051	22.584171	0.997031	31.383363	17.911251	"MP2_St1/Exp.profile_20"	"MP2_St1/Exp.profile_20_0.4.3"	"MP2_St1/Exp.profile_20_3.10"	"MP2_St1/Exp.profile_20_10.50"	"MP2_St1/Exp.profile_20_50.200"	"MP2_St1/Exp.profile_20_3.180"
"124"	125	"MP2_St1/Exp.profile_10m"	"MP2_St1/Exp.profile_10m_ss"	"MP2_St1/Exp.profile_10m_ss_mean"	"MP2_St1/Exp.profile_10m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"10"	"epi"	NA	35.039	3.1267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.6	667.2	15	3.2	NA	17.3	0	0	11.794	11.794	0.814	4.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	35.035	NA	NA	149	135000	35900	1710000	1340000	215000	3260000	0.36	24	75.949	13.713	3172.468	NA	0.019599381	0.009523796	0.015203581	0.015000994	1.991647266	1.135198	0.317633	0.089636	0.050485	23.651523	0.996733	32.517533	34.366034	"MP2_St1/Exp.profile_10"	"MP2_St1/Exp.profile_10_0.4.3"	"MP2_St1/Exp.profile_10_3.10"	"MP2_St1/Exp.profile_10_10.50"	"MP2_St1/Exp.profile_10_50.200"	"MP2_St1/Exp.profile_10_3.180"
"125"	126	"MP2_St1/Exp.profile_1m"	"MP2_St1/Exp.profile_1m_ss"	"MP2_St1/Exp.profile_1m_ss_mean"	"MP2_St1/Exp.profile_1m_nonss_mean"	"MP2"	"St1/Exp.profile"	"2014-03-16T22:42:00"	"05.03.14"	80.772	16.122	1693	"1"	"epi"	NA	34.9984	3.115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.5	678	15.4	4.6	NA	12.3	0.09	0.027	10.7	10.817	0.773	5.32	127.586	40.129	10.632	15.587	4.423	1.11	9.55	45.87	550.41	3.47	48.57	0.23	13.22	NA	NA	NA	NA	5	1	NA	NA	38.038	NA	NA	148	127000	37300	1960000	1370000	201000	3530000	0.42	28	92.827	10.021	3465.19	NA	0.020216861	0.009634103	0.013202677	0.009517675	1.904589936	1.15737	0.332896	0.109505	0.072657	22.935692	0.996854	30.955424	19.178146	"MP2_St1/Exp.profile_1"	"MP2_St1/Exp.profile_1_0.4.3"	"MP2_St1/Exp.profile_1_3.10"	"MP2_St1/Exp.profile_1_10.50"	"MP2_St1/Exp.profile_1_50.200"	"MP2_St1/Exp.profile_1_3.180"
"126"	127	"MP2_MP2.2_2750m"	"MP2_MP2.2_2750m_ss"	"MP2_MP2.2_2750m_ss_mean"	"MP2_MP2.2_2750m_nonss_mean"	"MP2"	"MP2.2"	"2014-03-16T22:42:00"	"06.03.14"	81.996	20.017	3000	"2750"	"meso"	NA	34.93	-0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.5	630	18.8	4.2	NA	12.7	0.35	0	14.3	14.65	1	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	1.001	NA	NA	27	16900	6400	411000	198000	33200	642000	0.61	38	29.536	7.384	1105.485	NA	0.031808104	0.015526508	0.024936317	0.080267778	1.735597238	1.111446	0.41594	0.194852	0.137277	15.85048	0.997918	23.139327	12.005598	"MP2_MP2.2_2750"	"MP2_MP2.2_2750_0.4.3"	"MP2_MP2.2_2750_3.10"	"MP2_MP2.2_2750_10.50"	"MP2_MP2.2_2750_50.200"	"MP2_MP2.2_2750_3.180"
"127"	128	"MP2_MP2.2_2000m"	"MP2_MP2.2_2000m_ss"	"MP2_MP2.2_2000m_ss_mean"	"MP2_MP2.2_2000m_nonss_mean"	"MP2"	"MP2.2"	"2014-03-16T22:42:00"	"06.03.14"	81.996	20.017	3000	"2000"	"meso"	NA	34.92	-0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.1	649.2	18.8	3.7	NA	14.5	0.78	0	14.3	15.08	1.1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	1.001	NA	NA	35	20500	7730	345000	248000	46300	639000	0.6	31	18.987	5.802	1189.346	NA	0.024806929	0.013236525	0.014649962	0.009551561	1.895616648	0.922961	0.273515	0.091578	0.045518	22.318188	0.997192	30.14485	26.083568	"MP2_MP2.2_2000"	"MP2_MP2.2_2000_0.4.3"	"MP2_MP2.2_2000_3.10"	"MP2_MP2.2_2000_10.50"	"MP2_MP2.2_2000_50.200"	"MP2_MP2.2_2000_3.180"
"128"	129	"MP2_MP2.2_1500m"	"MP2_MP2.2_1500m_ss"	"MP2_MP2.2_1500m_ss_mean"	"MP2_MP2.2_1500m_nonss_mean"	"MP2"	"MP2.2"	"2014-03-16T22:42:00"	"06.03.14"	81.996	20.017	3000	"1500"	"meso"	NA	34.91	-0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.9	658.8	18.4	4.2	NA	13.1	0	0	14.2	14.2	1	10.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	3.005	NA	NA	42	22900	8130	397000	276000	49500	722000	0.55	31	35.338	6.329	1053.27	NA	0.023884364	0.013001662	0.015013421	0.012174672	1.967686082	0.909956	0.26051	0.073967	0.041725	24.872604	0.996463	30.697054	22.237457	"MP2_MP2.2_1500"	"MP2_MP2.2_1500_0.4.3"	"MP2_MP2.2_1500_3.10"	"MP2_MP2.2_1500_10.50"	"MP2_MP2.2_1500_50.200"	"MP2_MP2.2_1500_3.180"
