"Seq"	"sampleID"	"sampleID_ss"	"sampleID_ss_mean"	"sampleID_nonss_mean"	"Cruise"	"Station"	"yyyy.mm.ddThh.mm.ss.sss"	"Date_mm.dd.yy"	"Latitude_degrees_north"	"Longitude_degrees_east"	"Bot_Depth_m"	"DEPTH_M"	"depthbin"	"Pressure"	"CTD.S"	"CTD.T"	"Potemp090C"	"CTD.O2"	"Oxsatperc"	"CTD.fluo"	"Turbidity"	"sigma"	"percChl_a_10"	"Chl_a"	"Chl_a_AVG"	"Chl_a_10um"	"Chla10_AVG"	"Phaeop_AVG"	"Phaeop_SD"	"TOC_uM"	"TOC_ug"	"TN_uM"	"TON_uM"	"TON_ug"	"TOC.TON"	"NH4_uM"	"NO2_uM"	"NO3.NO2_uM"	"Total_inorgN_uM"	"PO4_uM"	"SiOH4_uM"	"POC_ug"	"sd_POC_ug"	"POC_uM"	"PON_ug"	"sd_PON_ug"	"PON_uM"	"POC.PON"	"DOC_uM"	"DOC_ug"	"DON_uM"	"DON_ug"	"DON.TN"	"DOC.DON"	"BP_ug"	"sd_BP"	"BR"	"BCD"	"Picophytoeukaryotes"	"Nanophytoplankton"	"Large_Nanphyto"	"Small_Nanophyto"	"Synechococcus"	"Phaeocystis"	"Cryptophytes"	"Dead_phyto"	"Bacteria"	"HNA_bacteria"	"Small_virus"	"Medium_virus"	"Large_virus"	"Total_virus"	"HNA.LNA_bacteria"	"smallVirus.Bacteria"	"HNF"	"Large_HNF"	"HNA_Bac_from_HNF_plot"	"LysoTrack_HNF"	"Humic_Fl_A_RU"	"Humic_FL_C_RU"	"Humic_Fl_M_RU"	"Aminoacid_Fl_T_RU"	"Fluorescence_Index"	"a255_m.1"	"a300_m.1"	"a351_m.1"	"a375_m.1"	"S300.650nm__um.1"	"R2_of_slope_fit_300.650"	"S275.295nm__um.1"	"S300.450nm__um.1"	"sampleID2"	"sf0.4-3"	"sf3-10"	"sf10-50"	"sf50-200"	"sf3-180"
"11"	11	"MP1_CTD_nr_2_1m"	"MP1_CTD_nr_2_1m_ss"	"MP1_CTD_nr_2_1m_ss_mean"	"MP1_CTD_nr_2_1m_nonss_mean"	"MP1"	"CTD_nr_2"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"1"	"epi"	1.827	34.3343	1.7356	1.7355	5.50829	7.72335	0.035882	0.232	NA	NA	NA	NA	NA	NA	NA	NA	58.1	697.2	12.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.092	5.051	NA	NA	NA	NA	NA	NA	998000	103000	18400000	7300000	1690000	27400000	0.12	18.43	120.172	31.474	3652.361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_CTD_nr_2_1"	"MP1_CTD_nr_2_1_0.4.3"	"MP1_CTD_nr_2_1_3.10"	"MP1_CTD_nr_2_1_10.50"	"MP1_CTD_nr_2_1_50.200"	"MP1_CTD_nr_2_1_3.180"
"12"	12	"MP1_B16_1000m"	"MP1_B16_1000m_ss"	"MP1_B16_1000m_ss_mean"	"MP1_B16_1000m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"1000"	"meso"	1013.779	34.8991	-0.2746	-0.3177	5.6755	8.10964	0.0389	0.003	28.0391	NA	0.001	NA	NA	NA	NA	NA	45	540	17.2	4.2	59.4	10.6	0.22	NA	12.74	12.96	0.97	7.85	71.84	17.96	5.99	3.31	1.68	0.24	25.31	39.01	468.16	4.003505634	56.05	0.94	9.74	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	197000	25900	13600000	2010000	661000	16300000	0.15	69.33	18.036	4.008	1040.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_1000"	"MP1_B16_1000_0.4.3"	"MP1_B16_1000_3.10"	"MP1_B16_1000_10.50"	"MP1_B16_1000_50.200"	"MP1_B16_1000_3.180"
"13"	13	"MP1_B16_750m"	"MP1_B16_750m_ss"	"MP1_B16_750m_ss_mean"	"MP1_B16_750m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"750"	"meso"	759.842	34.8929	0.1713	0.1379	5.7142	8.01446	0.0396	0	28.0104	NA	0.001	NA	NA	NA	NA	NA	46.2	554.4	17.2	4.9	69.2	9.4	0.09	NA	12.17	12.26	0.97	6.62	60.95	19.27	5.08	2.33	0.65	0.17	30.47	41.12	493.45	4.77	66.83	0.97	8.61	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	263000	28100	13900000	2e+06	665000	16500000	0.12	52.66	46.092	12.024	1356.713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_750"	"MP1_B16_750_0.4.3"	"MP1_B16_750_3.10"	"MP1_B16_750_10.50"	"MP1_B16_750_50.200"	"MP1_B16_750_3.180"
"14"	15	"MP1_B16_500m"	"MP1_B16_500m_ss"	"MP1_B16_500m_ss_mean"	"MP1_B16_500m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"500"	"meso"	506.565	34.9051	0.9519	0.9275	5.70604	7.8512	0.0381	0	27.9725	NA	0.002	NA	NA	NA	NA	NA	51.6	619.2	17.7	5.4	76.2	9.5	0.05	NA	12.21	12.26	0.94	6.1	58.42	5.41	4.87	2.44	0.54	0.17	27.98	46.73	560.78	5.27	73.72	0.97	8.87	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	323000	32700	12500000	2400000	742000	15600000	0.11	38.61	30.038	5.006	1494.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_500"	"MP1_B16_500_0.4.3"	"MP1_B16_500_3.10"	"MP1_B16_500_10.50"	"MP1_B16_500_50.200"	"MP1_B16_500_3.180"
"15"	16	"MP1_B16_100m"	"MP1_B16_100m_ss"	"MP1_B16_100m_ss_mean"	"MP1_B16_100m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"100"	"epi"	100.722	34.5665	-0.1734	-0.1768	6.02166	8.10621	0.065	0.003	27.7652	2.075645756	0.027	NA	0.001	NA	NA	NA	54.2	650.4	16	6.2	86.2	8.8	0.5	NA	9.34	9.84	0.72	4.37	51.86	2.01	4.32	4.54	1.26	0.32	13.33	49.88	598.54	5.84	81.7	0.95	8.55	NA	NA	NA	NA	55.556	10.101	NA	NA	16	NA	NA	NA	738000	55700	19900000	4250000	1280000	25400000	0.08	26.96	45.028	11.257	2158.224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_100"	"MP1_B16_100_0.4.3"	"MP1_B16_100_3.10"	"MP1_B16_100_10.50"	"MP1_B16_100_50.200"	"MP1_B16_100_3.180"
"16"	17	"MP1_B16_50m"	"MP1_B16_50m_ss"	"MP1_B16_50m_ss_mean"	"MP1_B16_50m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"50"	"epi"	51.516	34.2841	-1.8284	-1.8294	6.66951	8.49451	0.0478	0.006	27.5997	11.56004489	0.015	NA	0.002	NA	NA	NA	55.9	670.8	12.7	7	98	8	0.45	NA	5.25	5.7	0.43	2.49	40.62	0.89	3.39	4.53	0.64	0.32	10.46	52.51	630.18	6.68	93.47	0.95	7.87	NA	NA	NA	NA	75.758	5.051	NA	NA	38	NA	NA	NA	747000	54400	1.9e+07	7870000	2420000	29300000	0.08	25.42	69.505	13.15	2419.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_50"	"MP1_B16_50_0.4.3"	"MP1_B16_50_3.10"	"MP1_B16_50_10.50"	"MP1_B16_50_50.200"	"MP1_B16_50_3.180"
"17"	18	"MP1_B16_30m"	"MP1_B16_30m_ss"	"MP1_B16_30m_ss_mean"	"MP1_B16_30m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"30"	"epi"	28.716	34.2802	-1.8445	-1.845	6.70653	8.49849	0.0546	0.005	27.597	8.098006645	0.015	NA	0.001	NA	NA	NA	56.7	680.4	12.6	7	97.6	8.1	0.46	NA	5.17	5.63	0.45	2.6	45.29	11.9	3.77	4.78	0.62	0.34	11.05	52.93	635.11	6.63	92.8	0.95	7.98	NA	NA	NA	NA	140.704	5.025	NA	NA	45	NA	NA	NA	1380000	141000	22600000	8440000	2610000	33600000	0.11	16.41	86.358	20.651	3562.578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_30"	"MP1_B16_30_0.4.3"	"MP1_B16_30_3.10"	"MP1_B16_30_10.50"	"MP1_B16_30_50.200"	"MP1_B16_30_3.180"
"18"	19	"MP1_B16_20m"	"MP1_B16_20m_ss"	"MP1_B16_20m_ss_mean"	"MP1_B16_20m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"20"	"epi"	20.7	34.2812	-1.8466	-1.847	6.6915	8.49892	0.0546	0.003	27.5979	6.76056338	0.018	NA	0.001	NA	NA	NA	58.6	703.2	12.3	7	97.6	8.4	0.42	NA	4.91	5.33	0.41	2.4	37.77	7.86	3.15	3.89	0.86	0.28	11.33	55.45	665.43	6.692280676	93.69	0.96	8.29	NA	NA	NA	NA	106.061	5.051	NA	NA	40	NA	NA	NA	781000	57100	21200000	7310000	2160000	30600000	0.08	27.1	65.122	15.028	2306.199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_20"	"MP1_B16_20_0.4.3"	"MP1_B16_20_3.10"	"MP1_B16_20_10.50"	"MP1_B16_20_50.200"	"MP1_B16_20_3.180"
"19"	20	"MP1_B16_10m"	"MP1_B16_10m_ss"	"MP1_B16_10m_ss_mean"	"MP1_B16_10m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"10"	"epi"	10.35	34.2854	-1.8503	-1.8505	6.7218	8.49955	0.0531	0.004	27.6013	8.624031008	0.019	NA	0.002	NA	NA	NA	55.8	669.6	12.8	7.3	101.5	7.7	0.76	NA	5.13	5.55	0.39	2.59	36.14	7.19	3.01	4.06	1.11	0.29	10.39	52.79	633.46	6.96	97.44	0.96	7.58	NA	NA	NA	NA	85.427	10.05	NA	NA	5	NA	NA	NA	825000	61500	21300000	8900000	2510000	32700000	0.08	25.8	65.748	19.411	2397.621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_10"	"MP1_B16_10_0.4.3"	"MP1_B16_10_3.10"	"MP1_B16_10_10.50"	"MP1_B16_10_50.200"	"MP1_B16_10_3.180"
"20"	21	"MP1_B16_5m"	"MP1_B16_5m_ss"	"MP1_B16_5m_ss_mean"	"MP1_B16_5m_nonss_mean"	"MP1"	"B16"	"2014-01-16T22:42:00"	"10.01.14"	81.77133333	19.16466667	3166	"5"	"epi"	5.772	34.2879	-1.8518	-1.8519	6.73415	8.49975	0.0583	0.007	27.6034	6.049723757	0.018	NA	0.001	NA	NA	NA	53.5	642	12.6	6.7	94.4	7.9	0.46	NA	5.1	5.86	0.43	2.48	34.32	4.77	2.86	3.73	0.35	0.27	10.73	50.64	607.68	6.47	90.63	0.96	7.82	NA	NA	NA	NA	101.01	5.051	NA	NA	30	NA	NA	NA	790000	54800	22300000	7620000	2080000	3.2e+07	0.07	28.22	56.982	13.15	2556.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_B16_5"	"MP1_B16_5_0.4.3"	"MP1_B16_5_3.10"	"MP1_B16_5_10.50"	"MP1_B16_5_50.200"	"MP1_B16_5_3.180"
